image_path,reference,infer,reference_tokens_jieba,infer_tokens_jieba,reference_tokens,infer_tokens,BLEU1,BLEU2,BLEU2s,BLEU3,BLEU3s,BLEU4,BLEU4s,METEOR,R-1R,R-1P,R-1F,R-2R,R-2P,R-2F,R-LR,R-LP,R-LF,jiebaB1,jiebaB2,jiebaB2s,jiebaB3,jiebaB3s,jiebaB4,jiebaB4s,jiebaM,jiebaR-1R,jiebaR-1P,jiebaR-1F,jiebaR-2R,jiebaR-2P,jiebaR-2F,jiebaR-LR,jiebaR-LP,jiebaR-LF,grs
D:\code\vit-gpt2\bigdata\geoimage_data\geo_69.png,铬铁矿矿石特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_383.png,流纹斑岩和花岗斑岩的正交偏光镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1007.png,滑来岩块组构特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_135.png,黑钨矿石英细脉的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_930.png,岩体和月牙湾岩体与围岩接触关系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_99.png,石英二长闪长岩的锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1027.png,侵入岩的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_881.png,样品的野外和微观特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1286.png,白云石化作用与压溶作用关系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_785.png,主要基岩岩心照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_251.png,岩浆期矿石的显微岩相特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_426.png,表分析点位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_275.png,样品的标本及显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_56.png,长英质副片麻岩锆石的图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1808.png,热液金刚石压腔样品的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1746.png,辉长岩样品的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1258.png,伟晶岩的野外露头照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_188.png,地表破裂带特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_914.png,杂岩体岩相学特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1211.png,金矿石中晚期黑云母石榴石产出特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_111.png,岩体中的绿泥石成分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_231.png,银矿物背散射照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_988.png,富球粒的背散射电子照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1799.png,碎屑岩的锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1532.png,云英岩型矿体锡石中流体包裹体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_986.png,月壤颗粒二次电子图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_70.png,橄榄岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1084.png,赋矿围岩与闪锌矿黄铜矿球粒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1384.png,表性样品的野外及显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_678.png,野外地质特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1181.png,岩浆岩的宏观和显微特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_937.png,遥感花岗岩体和伟晶岩脉分布图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1729.png,片麻岩的野外露头照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1898.png,砂泥岩的野外照片与显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1728.png,段花岗岩类镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1718.png,石榴黑云石英片岩显微岩相特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1516.png,榴辉岩中发育的退变反应结构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1821.png,块状矿石和海绵陨铁矿石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1832.png,矿石主要类型及辉钼矿特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1196.png,花岗岩相关的锂矿化作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_757.png,锆石阴极发光照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_494.png,带方辉橄榄岩的显微构造照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_529.png,羟硅铍石萤石的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_952.png,典型矿石构造照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1054.png,沉积岩野外及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1468.png,岩浆岩的野外特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1358.png,样品的正交偏光镜下显微特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1313.png,表性碎屑锆石图像及年龄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_782.png,砂岩石英次生加大镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1480.png,辉长岩的锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_727.png,岩体中暗色微粒包体的野外露头特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1644.png,花岗岩野外露头和显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_254.png,热液成矿期矿石特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1761.png,扫描电镜下假玄武玻璃微观构造特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1771.png,波辉绿岩脉的显微特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_211.png,辉钼矿的产出特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1185.png,岩石的手标本照片以及镜下岩相学特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_120.png,榴辉岩中条带状和褶皱状箭头所指的石英脉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_978.png,绿帘石的样品手标本及显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1694.png,样品的野外及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_210.png,马位松多含矿岩体锆石图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_620.png,剖面地层序列,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1401.png,铜矿钾硅酸盐化蚀变矿物显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_239.png,岩墙群的地质学特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_764.png,表性锆石图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1656.png,宿主辉石角闪岩和铁矿石样品的锆石图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1080.png,石榴角闪岩的野外露头特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_736.png,矿化特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1005.png,碳酸盐岩滑塌堆积沉积模式图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1356.png,金矿的矿化特征显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_352.png,枕状熔岩及直立的镁铁质岩床,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_353.png,镁铁质岩超镁铁质岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1843.png,矿物的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_910.png,铀赋存形式图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_810.png,脉岩的野外产状与岩相学特征图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_963.png,矿石构造手标本和显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1040.png,各种形态的组构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1383.png,沉积岩及侵入岩的野外照片及镜下岩相学特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_65.png,泥晶微晶白云岩的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_196.png,铬铁矿和橄榄石的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1740.png,镜下岩相学特征照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1316.png,碱长花岗岩手标本照片和正交偏光镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_765.png,铀矿物手标本和显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_29.png,蛇绿混杂岩带的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1503.png,矽卡岩野外及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_611.png,表性样品显微图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1058.png,锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1632.png,镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_818.png,样品显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_741.png,研究区基性岩样品野外及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_305.png,片麻岩中锆石的阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1639.png,典型矿石样品蚀变矿化显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_128.png,层状矿石的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_354.png,辉长岩中锆石的阴极发光照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1646.png,玲珑岩体的野外露头特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1787.png,白音花花岗岩矿物组成和结构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_707.png,锆石谐和图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1228.png,矿体的矿石组构特征和英安岩特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1557.png,不同类型矿石样品手标本及显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_862.png,地块构造变形特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_596.png,斜长角闪岩锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1317.png,表性手标本和显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_438.png,金矿照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_567.png,典型围岩蚀变与矿化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_507.png,辉长岩显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1278.png,岩野外露头和显微结构照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1833.png,黑石岗岩体中锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_544.png,段露头尺度构造特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_316.png,岩浆岩显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1613.png,矿石镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_526.png,煌斑岩的手标本及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1576.png,野外露头及不同类型岩石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_940.png,遥感影像图和地质解译,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_628.png,表性锆石阴极发光影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1891.png,花岗岩的野外产状及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1068.png,岩体的锆石照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1067.png,花岗岩的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_109.png,岩体黑云母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_598.png,花岗岩的宏观组构特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1428.png,花岗岩的野外及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_759.png,增生杂岩露头典型照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1242.png,变质辉长岩样品的锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1652.png,自然金共生碲化物元素扫面图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_382.png,不同岩石单元岩石薄片的显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1670.png,片麻岩穹窿内花岗片麻岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_942.png,含矿矽卡岩产出特征与结构构造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1896.png,辉长岩包体和矿物聚晶的显微结构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1304.png,碳酸岩样品的扫描电镜照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1210.png,构造面理特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_614.png,岩石的野外照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1402.png,铜矿青磐岩化及绢英岩化蚀变矿物显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_743.png,杂岩的野外和镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_792.png,碳酸盐岩储层段均方根振幅属性分析图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_427.png,矿化特征镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_570.png,岩体锆石图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_270.png,野外的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_618.png,似斑状花岗岩和中锆石的阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
