image_path,text
D:\code\vit-gpt2\bigdata\geoimage_data\geo_62.png,白济汛镁铁超镁铁岩测年锆石阴极发光图像圆圈
D:\code\vit-gpt2\bigdata\geoimage_data\geo_63.png,岩岩相特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_64.png,绛县群样品和
D:\code\vit-gpt2\bigdata\geoimage_data\geo_65.png,常见的准同生期白云岩化作用形成的泥晶微晶白云岩
D:\code\vit-gpt2\bigdata\geoimage_data\geo_66.png,不同成岩期埋藏白云岩化作用形成的各类白云岩白云石
D:\code\vit-gpt2\bigdata\geoimage_data\geo_67.png,研究区种类白云岩阴极发光照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_68.png,藏康金拉号铬铁矿矿体的野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_69.png,藏康金拉号铬铁矿矿石特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_70.png,橄榄岩的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_71.png,段嘎马米林左行伸展
D:\code\vit-gpt2\bigdata\geoimage_data\geo_72.png,段嘎马米林左行伸展转
D:\code\vit-gpt2\bigdata\geoimage_data\geo_73.png,多雄拉变质穹隆野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_74.png,侧鲁郎拉月韧性
D:\code\vit-gpt2\bigdata\geoimage_data\geo_75.png,侧鲁朗
D:\code\vit-gpt2\bigdata\geoimage_data\geo_76.png,石榴黑云斜长片麻岩锆石的
D:\code\vit-gpt2\bigdata\geoimage_data\geo_77.png,石榴黑云片麻岩中锆石
D:\code\vit-gpt2\bigdata\geoimage_data\geo_78.png,流体包裹体产状显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_79.png,喜马拉雅孔兹岩系显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_80.png,松多榴辉岩与围岩的野外露头及其显微相片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_81.png,榴辉岩样品
D:\code\vit-gpt2\bigdata\geoimage_data\geo_82.png,缘混合岩产出特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_83.png,表性锆石的阴
D:\code\vit-gpt2\bigdata\geoimage_data\geo_84.png,表性锆石
D:\code\vit-gpt2\bigdata\geoimage_data\geo_85.png,蛇绿岩及有关岩石单元的野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_86.png,蛇绿岩的不同岩性单元的显微镜下照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_87.png,表性锆石的阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_88.png,表
D:\code\vit-gpt2\bigdata\geoimage_data\geo_89.png,韧性剪切带野外变形照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_90.png,韧性剪切带显微照片变形特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_91.png,鸟瞰仪器分布光源电磁波谱
D:\code\vit-gpt2\bigdata\geoimage_data\geo_92.png,组玻屑流纹岩显微镜观察结果
D:\code\vit-gpt2\bigdata\geoimage_data\geo_93.png,锆石阴极发光图像及年龄分析点位
D:\code\vit-gpt2\bigdata\geoimage_data\geo_94.png,二叠纪碳酸盐斜坡体系的岩相特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_95.png,早白垩世岩石中锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_96.png,侵入岩中锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_97.png,辉石二长闪长岩的锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_98.png,石英二长闪长岩的锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_99.png,石英二长闪长岩的锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_100.png,花岗闪长岩的锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_101.png,表性花岗岩体的显微结构
D:\code\vit-gpt2\bigdata\geoimage_data\geo_102.png,岩体样品部分阴极发光图像及测试位置
D:\code\vit-gpt2\bigdata\geoimage_data\geo_103.png,花岗闪长岩质角砾岩基质发育硫化物矿化凤凰
D:\code\vit-gpt2\bigdata\geoimage_data\geo_104.png,层状矿体中典型矿石结构构造
D:\code\vit-gpt2\bigdata\geoimage_data\geo_105.png,辉石闪长岩矿物组成和结构显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_106.png,金矿蚀变和矿化特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_107.png,岩石样品手标本照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_108.png,永平似斑状黑云母花岗岩和石英斑岩显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_109.png,永平岩体黑云母分类图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_110.png,永平岩体黑云母
D:\code\vit-gpt2\bigdata\geoimage_data\geo_111.png,永平岩体中绿泥石成分分类图解
D:\code\vit-gpt2\bigdata\geoimage_data\geo_112.png,油和气包裹体共生于方解石同一微裂隙中
D:\code\vit-gpt2\bigdata\geoimage_data\geo_113.png,重晶石
D:\code\vit-gpt2\bigdata\geoimage_data\geo_114.png,方解石中的簇状分布包裹体显示相似的均一温度
D:\code\vit-gpt2\bigdata\geoimage_data\geo_115.png,重晶石中的簇状单液相包裹体方解石中
D:\code\vit-gpt2\bigdata\geoimage_data\geo_116.png,下合成样品中不混溶捕获包裹体在超过实验温度
D:\code\vit-gpt2\bigdata\geoimage_data\geo_117.png,池庄榴辉岩中脉体照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_118.png,流体包裹体产状显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_119.png,流体包裹体中固相和气液相激光拉曼探针分析结果
D:\code\vit-gpt2\bigdata\geoimage_data\geo_120.png,榴辉岩中条带状和褶皱状箭头所指石英脉
D:\code\vit-gpt2\bigdata\geoimage_data\geo_121.png,包裹体照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_122.png,左和右样品流体包裹体薄
D:\code\vit-gpt2\bigdata\geoimage_data\geo_123.png,手标本及显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_124.png,的矿石构造
D:\code\vit-gpt2\bigdata\geoimage_data\geo_125.png,主成矿阶段矿石照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_126.png,岩体石英中流体包裹体显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_127.png,晚期的脉状铜矿化
D:\code\vit-gpt2\bigdata\geoimage_data\geo_128.png,层状矿石照片及矿物显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_129.png,铅锌矿石英中富甲烷单相包裹体测温过程
D:\code\vit-gpt2\bigdata\geoimage_data\geo_130.png,矿石组构特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_131.png,流体包裹体显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_132.png,地质特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_133.png,各阶段典型流体包裹体照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_134.png,萤石中各种类型的包裹体
D:\code\vit-gpt2\bigdata\geoimage_data\geo_135.png,黑钨矿石英细脉的野外及室内照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_136.png,玄武岩气孔石英中流体包裹体显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_137.png,广安井须六段第期和第石英加大边
D:\code\vit-gpt2\bigdata\geoimage_data\geo_138.png,高压麻粒岩相辉长质岩墙和围岩的产状和变形构造
D:\code\vit-gpt2\bigdata\geoimage_data\geo_139.png,下地壳岩石的变质显微结构
D:\code\vit-gpt2\bigdata\geoimage_data\geo_140.png,宁岗岩体锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_141.png,正长花岗岩辉绿岩墙和正长斑岩脉之间的侵位关系
D:\code\vit-gpt2\bigdata\geoimage_data\geo_142.png,岩中锆石的阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_143.png,中不同矿石的宏观及显微特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_144.png,普朗斑岩铜矿锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_145.png,采样露头野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_146.png,锆石颗粒的阴极发光电子图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_147.png,侵入杂岩中锆石的阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_148.png,玉龙含矿岩体锆石图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_149.png,高铁叶绿矾斜钾铁矾绿钾铁矾的扫描电镜图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_150.png,沙群岛石岛晚更新世根管石
D:\code\vit-gpt2\bigdata\geoimage_data\geo_151.png,根管石断面元素及化合物成分变化
D:\code\vit-gpt2\bigdata\geoimage_data\geo_152.png,沿海高分异型花岗岩典型样品的岩相学显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_153.png,沿海高分异型花岗岩被测锆石阴极发光图像分析点位及
D:\code\vit-gpt2\bigdata\geoimage_data\geo_154.png,白榴碧玄岩的背闪射图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_155.png,涠洲岛地幔橄榄岩矿物中的熔体包裹体
D:\code\vit-gpt2\bigdata\geoimage_data\geo_156.png,表性样品显微照片正交偏光
D:\code\vit-gpt2\bigdata\geoimage_data\geo_157.png,表性锆石的背散射电子图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_158.png,天和永玄武岩岩相学特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_159.png,天和永玄武岩的岩相学特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_160.png,天和永玄武岩中斜方辉石反应边现象正交偏光
D:\code\vit-gpt2\bigdata\geoimage_data\geo_161.png,石榴石二辉橄榄岩显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_162.png,爆破式喷发产物
D:\code\vit-gpt2\bigdata\geoimage_data\geo_163.png,地质
D:\code\vit-gpt2\bigdata\geoimage_data\geo_164.png,成因湖泊
D:\code\vit-gpt2\bigdata\geoimage_data\geo_165.png,熔岩流与晚更新世沙土接触关系
D:\code\vit-gpt2\bigdata\geoimage_data\geo_166.png,剖面
D:\code\vit-gpt2\bigdata\geoimage_data\geo_167.png,碎屑的显微形貌特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_168.png,碎屑颗粒的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_169.png,碎屑颗粒的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_170.png,样品碎屑颗粒的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_171.png,样品碎屑颗粒的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_172.png,景区
D:\code\vit-gpt2\bigdata\geoimage_data\geo_173.png,石门显胜门由巨厚流纹岩层构成
D:\code\vit-gpt2\bigdata\geoimage_data\geo_174.png,由流纹岩组成的柱峰独秀峰
D:\code\vit-gpt2\bigdata\geoimage_data\geo_175.png,汤家坪斑岩型钼矿中的暗色微粒包体和辉
D:\code\vit-gpt2\bigdata\geoimage_data\geo_176.png,井峪隐爆角砾岩
D:\code\vit-gpt2\bigdata\geoimage_data\geo_177.png,葫芦岩体基性超基性岩石的显微结构特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_178.png,锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_179.png,达拉布特蛇绿混杂岩的露头以及其中变辉长岩的
D:\code\vit-gpt2\bigdata\geoimage_data\geo_180.png,蛇绿岩的实测剖面以及尖晶石二辉橄榄岩和大理岩的关系
D:\code\vit-gpt2\bigdata\geoimage_data\geo_181.png,尖晶石二辉橄榄岩和白云石大理岩的岩相学特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_182.png,变质核杂岩露头照片及其岩相学特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_183.png,华纪双峰式火成岩与韧性变形运
D:\code\vit-gpt2\bigdata\geoimage_data\geo_184.png,阿克苏蓝片岩遥感图像解释和样品分布图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_185.png,岩及其锆石
D:\code\vit-gpt2\bigdata\geoimage_data\geo_186.png,组沉积特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_187.png,黑色物质样品表面测试元素分布特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_188.png,汶川地震地表破裂带特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_189.png,川断裂带断裂岩特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_190.png,断裂岩光学显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_191.png,黑色断裂物质单偏光下显微特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_192.png,黑色断裂物质扫描电镜特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_193.png,俄久卖片麻岩的岩石学特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_194.png,锆石的阴极发光图像测点位置和年龄
D:\code\vit-gpt2\bigdata\geoimage_data\geo_195.png,芝麻坊石榴子石二辉橄榄岩手标本扫描照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_196.png,变斑晶石榴子石幔部包裹大量细粒铬铁矿和橄榄石显微照片和背散射图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_197.png,基质中细粒石榴子石环带和包裹体结构背散射图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_198.png,和赵房岩体的宏观与微观构造特点
D:\code\vit-gpt2\bigdata\geoimage_data\geo_199.png,化德群变质砂岩中碎屑锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_200.png,钼矿典型照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_201.png,带野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_202.png,岩体花岗斑岩中部分锆石的形态及分析点位图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_203.png,岩体及合峪岩体的岩石组构及矿物组成特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_204.png,岩体及合峪岩体的阴极发光图象
D:\code\vit-gpt2\bigdata\geoimage_data\geo_205.png,型和型片麻状变质花岗岩锆石阴极发光图像分析点位及
D:\code\vit-gpt2\bigdata\geoimage_data\geo_206.png,拉鸡庙镁铁质岩体中用于定年的闪长岩主要矿物
D:\code\vit-gpt2\bigdata\geoimage_data\geo_207.png,露头照片及岩石显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_208.png,杂岩体单斜辉石的镜下特征单偏光环带
D:\code\vit-gpt2\bigdata\geoimage_data\geo_209.png,号角砾岩筒下伏岩体岩石及显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_210.png,马位松多含矿岩体锆石图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_211.png,辉钼矿产出特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_212.png,地质特征照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_213.png,二长花岗斑岩矿化蚀变特征薄片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_214.png,菱镁矿样品地质特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_215.png,显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_216.png,锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_217.png,辉长岩锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_218.png,橄榄石变形后试件的扫描电镜
D:\code\vit-gpt2\bigdata\geoimage_data\geo_219.png,常见的准同生阶段白云石化作用形成的泥晶微晶白云岩
D:\code\vit-gpt2\bigdata\geoimage_data\geo_220.png,不同成岩阶段埋藏白云化作用的产物和演化过程图谱
D:\code\vit-gpt2\bigdata\geoimage_data\geo_221.png,阿布扎比萨勃哈海水及沉积物同位素随位置变化趋势据
D:\code\vit-gpt2\bigdata\geoimage_data\geo_222.png,飞仙关组各类碳酸盐岩锶同位素变化范围及均值直方图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_223.png,飞仙关组各类碳酸盐同位素分布区间
D:\code\vit-gpt2\bigdata\geoimage_data\geo_224.png,蒙阴及复县橄榄岩捕虏体的野外及显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_225.png,岩石及铜矿化的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_226.png,石墨矿石左深度及石墨硫化物
D:\code\vit-gpt2\bigdata\geoimage_data\geo_227.png,含矿岩体的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_228.png,铅锌矿石矿物组成及结构相关照片反射光
D:\code\vit-gpt2\bigdata\geoimage_data\geo_229.png,铅锌矿石构造及脉状穿插关系相关照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_230.png,银矿物赋存状态相关照片反射光
D:\code\vit-gpt2\bigdata\geoimage_data\geo_231.png,银矿物背散射照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_232.png,黄沙钨矿石英中流体包裹体
D:\code\vit-gpt2\bigdata\geoimage_data\geo_233.png,程潮铁矿典型的矽卡岩矿物
D:\code\vit-gpt2\bigdata\geoimage_data\geo_234.png,现象
D:\code\vit-gpt2\bigdata\geoimage_data\geo_235.png,大洋莒舟花岗岩岩石标本和显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_236.png,碲化物产状及其共生关系图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_237.png,针碲金银矿斜方碲金矿碲金矿和产状及其共生关系图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_238.png,阿尔夏特岩体对沿断裂运动的含矿流体流的屏蔽
D:\code\vit-gpt2\bigdata\geoimage_data\geo_239.png,岩墙群的地质学特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_240.png,表性岩墙的露头照片示岩墙与成矿作用的可能联系
D:\code\vit-gpt2\bigdata\geoimage_data\geo_241.png,闪长玢岩及斜长花岗斑岩蚀变类型及特点
D:\code\vit-gpt2\bigdata\geoimage_data\geo_242.png,岩特点
D:\code\vit-gpt2\bigdata\geoimage_data\geo_243.png,碎屑岩特点
D:\code\vit-gpt2\bigdata\geoimage_data\geo_244.png,岩及侵入岩类型及特点
D:\code\vit-gpt2\bigdata\geoimage_data\geo_245.png,测年锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_246.png,哈拉达拉主要岩石类型显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_247.png,岩体特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_248.png,表性锆石的阴极发光图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_249.png,流体包裹体显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_250.png,乔霍特铜矿矿化特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_251.png,岩显微岩相特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_252.png,岩锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_253.png,岩浆期矿石特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_254.png,热液成矿期矿石特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_255.png,显示不同花岗岩和斜长角闪岩接触关系和矿物组成的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_256.png,花岗岩显微镜下特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_257.png,花岗岩锆石图像测点位置及谐和年龄
D:\code\vit-gpt2\bigdata\geoimage_data\geo_258.png,钾钠质流纹岩的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_259.png,特克斯库勒萨依斑岩的锆石阴极发光
D:\code\vit-gpt2\bigdata\geoimage_data\geo_260.png,样品和的位置野外产出关系及岩石学显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_261.png,样品的位置野外产出关系和岩石显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_262.png,岩墙和围岩锆石的阴极发光图像测试点位置及测试结果
D:\code\vit-gpt2\bigdata\geoimage_data\geo_263.png,岩岩相学特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_264.png,哈拉达拉辉长岩以及其中脉岩和热液脉的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_265.png,辉石出溶结构的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_266.png,岩体岩石学特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_267.png,矿物的图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_268.png,辉石颗粒的图像显示成分的不均匀性
D:\code\vit-gpt2\bigdata\geoimage_data\geo_269.png,发生剪切变形的石英菱镁岩
D:\code\vit-gpt2\bigdata\geoimage_data\geo_270.png,准噶尔野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_271.png,卡拉麦里走滑构造带照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_272.png,准噶尔野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_273.png,辉长岩锆石的阴极发光和反射光影像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_274.png,测年中酸性侵入岩显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_275.png,样品手标本及显微镜下照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_276.png,岩浆混合作用有关岩石的显微结构
D:\code\vit-gpt2\bigdata\geoimage_data\geo_277.png,片岩中的型褶皱与阿克喀巴克闪长岩的变形特征
